unique_id,supplier,location,date_time,day,time,measurement,today,value,units,comments
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-01T00:00:00Z,yesterday,,daily average withdrawals,2001-09-02,103.46,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-02T00:00:00Z,yesterday,,daily average withdrawals,2001-09-03,114.02,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-03T00:00:00Z,yesterday,,daily average withdrawals,2001-09-04,118.9,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-04T00:00:00Z,yesterday,,daily average withdrawals,2001-09-05,135.64,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-05T00:00:00Z,yesterday,,daily average withdrawals,2001-09-06,119.4,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-06T00:00:00Z,yesterday,,daily average withdrawals,2001-09-07,120.85,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-07T00:00:00Z,yesterday,,daily average withdrawals,2001-09-08,122.58,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-08T00:00:00Z,yesterday,,daily average withdrawals,2001-09-09,140.48,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-09T00:00:00Z,yesterday,,daily average withdrawals,2001-09-10,163.08,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-10T00:00:00Z,yesterday,,daily average withdrawals,2001-09-11,168.18,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-11T00:00:00Z,yesterday,,daily average withdrawals,2001-09-12,200.39,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-12T00:00:00Z,yesterday,,daily average withdrawals,2001-09-13,165.9,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-13T00:00:00Z,yesterday,,daily average withdrawals,2001-09-14,136.99,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-14T00:00:00Z,yesterday,,daily average withdrawals,2001-09-15,153,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-15T00:00:00Z,yesterday,,daily average withdrawals,2001-09-16,114.8,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-16T00:00:00Z,yesterday,,daily average withdrawals,2001-09-17,111.98,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-17T00:00:00Z,yesterday,,daily average withdrawals,2001-09-18,128.8,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-18T00:00:00Z,yesterday,,daily average withdrawals,2001-09-19,133.78,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-19T00:00:00Z,yesterday,,daily average withdrawals,2001-09-20,134.88,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-20T00:00:00Z,yesterday,,daily average withdrawals,2001-09-21,123.15,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-21T00:00:00Z,yesterday,,daily average withdrawals,2001-09-22,118.45,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-22T00:00:00Z,yesterday,,daily average withdrawals,2001-09-23,113.59,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-23T00:00:00Z,yesterday,,daily average withdrawals,2001-09-24,121.1,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-24T00:00:00Z,yesterday,,daily average withdrawals,2001-09-25,140.55,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-25T00:00:00Z,yesterday,,daily average withdrawals,2001-09-26,111.86,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-26T00:00:00Z,yesterday,,daily average withdrawals,2001-09-27,120.76,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-27T00:00:00Z,yesterday,,daily average withdrawals,2001-09-28,113.27,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-28T00:00:00Z,yesterday,,daily average withdrawals,2001-09-29,127.94,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-29T00:00:00Z,yesterday,,daily average withdrawals,2001-09-30,130.07,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-09-30T00:00:00Z,yesterday,,daily average withdrawals,2001-10-01,135.28,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-10-01T00:00:00Z,yesterday,,daily average withdrawals,2001-10-02,127.31,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-10-02T00:00:00Z,yesterday,,daily average withdrawals,2001-10-03,136.11,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-10-03T00:00:00Z,yesterday,,daily average withdrawals,2001-10-04,139.35,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-10-04T00:00:00Z,yesterday,,daily average withdrawals,2001-10-05,128.02,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-10-05T00:00:00Z,yesterday,,daily average withdrawals,2001-10-06,124.19,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2001-10-06T00:00:00Z,yesterday,,daily average withdrawals,2001-10-07,106.59,MGD,
