unique_id,supplier,location,date_time,day,time,measurement,today,value,units,comments
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-01T00:00:00Z,yesterday,,daily average withdrawals,2007-07-02,143.38,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-02T00:00:00Z,yesterday,,daily average withdrawals,2007-07-03,150.01,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-03T00:00:00Z,yesterday,,daily average withdrawals,2007-07-04,147.99,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-04T00:00:00Z,yesterday,,daily average withdrawals,2007-07-05,142.56,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-05T00:00:00Z,yesterday,,daily average withdrawals,2007-07-06,122.69,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-06T00:00:00Z,yesterday,,daily average withdrawals,2007-07-07,131.02,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-07T00:00:00Z,yesterday,,daily average withdrawals,2007-07-08,146.65,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-08T00:00:00Z,yesterday,,daily average withdrawals,2007-07-09,158.51,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-09T00:00:00Z,yesterday,,daily average withdrawals,2007-07-10,158.59,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-10T00:00:00Z,yesterday,,daily average withdrawals,2007-07-11,153.82,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-11T00:00:00Z,yesterday,,daily average withdrawals,2007-07-12,131.2,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-12T00:00:00Z,yesterday,,daily average withdrawals,2007-07-13,130.68,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-13T00:00:00Z,yesterday,,daily average withdrawals,2007-07-14,145.05,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-14T00:00:00Z,yesterday,,daily average withdrawals,2007-07-15,130.36,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-15T00:00:00Z,yesterday,,daily average withdrawals,2007-07-16,151.43,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-16T00:00:00Z,yesterday,,daily average withdrawals,2007-07-17,140.84,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-17T00:00:00Z,yesterday,,daily average withdrawals,2007-07-18,148.94,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-18T00:00:00Z,yesterday,,daily average withdrawals,2007-07-19,150.05,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-19T00:00:00Z,yesterday,,daily average withdrawals,2007-07-20,152.48,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-20T00:00:00Z,yesterday,,daily average withdrawals,2007-07-21,150.59,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-21T00:00:00Z,yesterday,,daily average withdrawals,2007-07-22,160.56,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-22T00:00:00Z,yesterday,,daily average withdrawals,2007-07-23,162.43,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-23T00:00:00Z,yesterday,,daily average withdrawals,2007-07-24,167.35,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-24T00:00:00Z,yesterday,,daily average withdrawals,2007-07-25,152.41,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-25T00:00:00Z,yesterday,,daily average withdrawals,2007-07-26,151.22,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-26T00:00:00Z,yesterday,,daily average withdrawals,2007-07-27,167.46,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-27T00:00:00Z,yesterday,,daily average withdrawals,2007-07-28,160.53,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-28T00:00:00Z,yesterday,,daily average withdrawals,2007-07-29,138.84,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-29T00:00:00Z,yesterday,,daily average withdrawals,2007-07-30,135.66,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-30T00:00:00Z,yesterday,,daily average withdrawals,2007-07-31,119.91,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-07-31T00:00:00Z,yesterday,,daily average withdrawals,2007-08-01,134.04,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-01T00:00:00Z,yesterday,,daily average withdrawals,2007-08-02,148.03,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-02T00:00:00Z,yesterday,,daily average withdrawals,2007-08-03,147.65,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-03T00:00:00Z,yesterday,,daily average withdrawals,2007-08-04,157.07,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-04T00:00:00Z,yesterday,,daily average withdrawals,2007-08-05,157.66,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-05T00:00:00Z,yesterday,,daily average withdrawals,2007-08-06,158.52,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-06T00:00:00Z,yesterday,,daily average withdrawals,2007-08-07,124.55,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-07T00:00:00Z,yesterday,,daily average withdrawals,2007-08-08,145.99,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-08T00:00:00Z,yesterday,,daily average withdrawals,2007-08-09,148.89,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-09T00:00:00Z,yesterday,,daily average withdrawals,2007-08-10,144.6,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-10T00:00:00Z,yesterday,,daily average withdrawals,2007-08-11,129.59,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-11T00:00:00Z,yesterday,,daily average withdrawals,2007-08-12,145.27,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-12T00:00:00Z,yesterday,,daily average withdrawals,2007-08-13,139.98,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-13T00:00:00Z,yesterday,,daily average withdrawals,2007-08-14,148.06,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-14T00:00:00Z,yesterday,,daily average withdrawals,2007-08-15,148.21,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-15T00:00:00Z,yesterday,,daily average withdrawals,2007-08-16,168.06,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-16T00:00:00Z,yesterday,,daily average withdrawals,2007-08-17,144.89,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-17T00:00:00Z,yesterday,,daily average withdrawals,2007-08-18,132.91,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-18T00:00:00Z,yesterday,,daily average withdrawals,2007-08-19,136.89,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-19T00:00:00Z,yesterday,,daily average withdrawals,2007-08-20,128.93,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-20T00:00:00Z,yesterday,,daily average withdrawals,2007-08-21,110.14,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-21T00:00:00Z,yesterday,,daily average withdrawals,2007-08-22,103.81,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-22T00:00:00Z,yesterday,,daily average withdrawals,2007-08-23,103.44,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-23T00:00:00Z,yesterday,,daily average withdrawals,2007-08-24,108.18,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-24T00:00:00Z,yesterday,,daily average withdrawals,2007-08-25,115.33,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-25T00:00:00Z,yesterday,,daily average withdrawals,2007-08-26,127.03,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-26T00:00:00Z,yesterday,,daily average withdrawals,2007-08-27,110.98,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-27T00:00:00Z,yesterday,,daily average withdrawals,2007-08-28,118.43,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-28T00:00:00Z,yesterday,,daily average withdrawals,2007-08-29,121.7,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-29T00:00:00Z,yesterday,,daily average withdrawals,2007-08-30,133.07,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-30T00:00:00Z,yesterday,,daily average withdrawals,2007-08-31,122.87,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-08-31T00:00:00Z,yesterday,,daily average withdrawals,2007-09-01,121.62,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-01T00:00:00Z,yesterday,,daily average withdrawals,2007-09-02,131.9,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-02T00:00:00Z,yesterday,,daily average withdrawals,2007-09-03,120.69,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-03T00:00:00Z,yesterday,,daily average withdrawals,2007-09-04,136.48,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-04T00:00:00Z,yesterday,,daily average withdrawals,2007-09-05,129.99,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-05T00:00:00Z,yesterday,,daily average withdrawals,2007-09-06,138.59,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-06T00:00:00Z,yesterday,,daily average withdrawals,2007-09-07,138.17,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-07T00:00:00Z,yesterday,,daily average withdrawals,2007-09-08,151.83,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-08T00:00:00Z,yesterday,,daily average withdrawals,2007-09-09,141.19,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-09T00:00:00Z,yesterday,,daily average withdrawals,2007-09-10,143.46,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-10T00:00:00Z,yesterday,,daily average withdrawals,2007-09-11,190.02,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-11T00:00:00Z,yesterday,,daily average withdrawals,2007-09-12,174.34,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-12T00:00:00Z,yesterday,,daily average withdrawals,2007-09-13,166.3,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-13T00:00:00Z,yesterday,,daily average withdrawals,2007-09-14,146.34,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-14T00:00:00Z,yesterday,,daily average withdrawals,2007-09-15,155.33,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-15T00:00:00Z,yesterday,,daily average withdrawals,2007-09-16,145.51,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-16T00:00:00Z,yesterday,,daily average withdrawals,2007-09-17,150.51,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-17T00:00:00Z,yesterday,,daily average withdrawals,2007-09-18,151.92,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-18T00:00:00Z,yesterday,,daily average withdrawals,2007-09-19,154.92,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-19T00:00:00Z,yesterday,,daily average withdrawals,2007-09-20,161.93,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-20T00:00:00Z,yesterday,,daily average withdrawals,2007-09-21,161.27,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-21T00:00:00Z,yesterday,,daily average withdrawals,2007-09-22,169.93,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-22T00:00:00Z,yesterday,,daily average withdrawals,2007-09-23,169.48,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-23T00:00:00Z,yesterday,,daily average withdrawals,2007-09-24,160.59,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-24T00:00:00Z,yesterday,,daily average withdrawals,2007-09-25,189.9,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-25T00:00:00Z,yesterday,,daily average withdrawals,2007-09-26,174.47,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-26T00:00:00Z,yesterday,,daily average withdrawals,2007-09-27,174.36,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-27T00:00:00Z,yesterday,,daily average withdrawals,2007-09-28,174.83,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-28T00:00:00Z,yesterday,,daily average withdrawals,2007-09-29,158.1,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-29T00:00:00Z,yesterday,,daily average withdrawals,2007-09-30,146.97,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-09-30T00:00:00Z,yesterday,,daily average withdrawals,2007-10-01,163.77,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-10-01T00:00:00Z,yesterday,,daily average withdrawals,2007-10-02,173.28,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-10-02T00:00:00Z,yesterday,,daily average withdrawals,2007-10-03,163.14,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-10-03T00:00:00Z,yesterday,,daily average withdrawals,2007-10-04,161.31,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-10-04T00:00:00Z,yesterday,,daily average withdrawals,2007-10-05,177.25,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-10-05T00:00:00Z,yesterday,,daily average withdrawals,2007-10-06,179.04,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-10-06T00:00:00Z,yesterday,,daily average withdrawals,2007-10-07,162.74,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-10-07T00:00:00Z,yesterday,,daily average withdrawals,2007-10-08,167.55,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-10-08T00:00:00Z,yesterday,,daily average withdrawals,2007-10-09,171.57,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-10-09T00:00:00Z,yesterday,,daily average withdrawals,2007-10-10,176.92,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-10-10T00:00:00Z,yesterday,,daily average withdrawals,2007-10-11,164.3,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2007-10-11T00:00:00Z,yesterday,,daily average withdrawals,2007-10-12,161.97,MGD,
