site,flow,lag_to_lfalls,loss_to_lfalls,pct_of_stream_length,lag,loss,lag_quant,lag_min,lag_max,loss_min,loss_max,best_lag,best_loss,ga_rmse,org_rmse
por_4,12500,12,0,0.41,4.92,0,0.492,4.428,5.412,-0.5,0.5,4.99153341909204,-0.200166549183184,-769.048743324963,-1047.3580145582
por_4,100000,9,0,0.41,3.69,0,0.369,3.321,4.059,-0.5,0.5,3.58518720694051,-0.0725421575978135,-769.048743324963,-1047.3580145582
por_4,2000000,7,0,0.41,2.87,0,0.287,2.583,3.157,-0.5,0.5,2.67609452784944,-0.183692451999746,-769.048743324963,-1047.3580145582
seneca,0,18,0,1,18,0,1.8,16.2,19.8,-0.5,0.5,18.1378863400681,0.0646572091819376,-769.048743324963,-1047.3580145582
seneca,50,12,0,1,12,0,1.2,10.8,13.2,-0.5,0.5,12.52089579612,0.217296690967983,-769.048743324963,-1047.3580145582
seneca,500,6,0,1,6,0,0.6,5.4,6.6,-0.5,0.5,6.21652463510259,-0.408249271113545,-769.048743324963,-1047.3580145582
seneca,100000,3,0,1,3,0,0.3,2.7,3.3,-0.5,0.5,2.88758757981654,-0.0936647707800262,-769.048743324963,-1047.3580145582
seneca,2000000,1,0,1,1,0,0.1,0.9,1.1,-0.5,0.5,1.05183506311491,-0.00338661469155118,-769.048743324963,-1047.3580145582
por_all,50,48,0,1,48,0,4.8,43.2,52.8,-0.5,0.5,50.5428844821291,-0.221911880797733,-769.048743324963,-1047.3580145582
por_all,500,30,0,1,30,0,3,27,33,-0.5,0.5,31.761763527809,-0.357965467836674,-769.048743324963,-1047.3580145582
por_all,2500,24,0,1,24,0,2.4,21.6,26.4,-0.5,0.5,25.4928584779257,-0.0159869191023199,-769.048743324963,-1047.3580145582
por_all,5000,18,0,1,18,0,1.8,16.2,19.8,-0.5,0.5,18.0014103834423,0.24852067664718,-769.048743324963,-1047.3580145582
por_all,12500,12,0,1,12,0,1.2,10.8,13.2,-0.5,0.5,12.1622164662225,-0.00842445819942642,-769.048743324963,-1047.3580145582
por_all,100000,9,0,1,9,0,0.9,8.1,9.9,-0.5,0.5,8.63054694215886,0.0856000056495256,-769.048743324963,-1047.3580145582
por_all,2000000,7,0,1,7,0,0.7,6.3,7.7,-0.5,0.5,7.33739209268381,0.3560325870986,-769.048743324963,-1047.3580145582
